site_id,total,A,B,C,D,E
10,130,0,0,85,45,0
11,0,0,0,0,0,0
12,224,0,0,203,21,0
13,304,0,0,290,14,0
14,1869,79,560,1085,145,27
3,1874,0,831,671,372,180
4,0,0,0,0,0,0
5,10132,5637,2722,1511,262,102
6,1,0,0,0,1,0
7,283,0,0,274,9,0
8,867,0,652,48,167,17
9,2213,854,245,1032,82,7
