building_id,site_id,timestamp,error
1218,13,2018-02-27 00:00:00,B
1218,13,2018-02-28 00:00:00,B
1218,13,2018-03-01 00:00:00,B
1218,13,2018-03-02 00:00:00,B
1218,13,2018-03-03 00:00:00,B
1218,13,2018-03-04 00:00:00,B
1167,13,2018-03-05 00:00:00,B
1218,13,2018-03-05 00:00:00,B
1167,13,2018-03-06 00:00:00,B
1167,13,2018-03-07 00:00:00,B
1167,13,2018-03-08 00:00:00,B
1167,13,2018-03-09 00:00:00,B
1167,13,2018-03-10 00:00:00,B
1167,13,2018-03-11 00:00:00,B
1218,13,2018-03-11 00:00:00,B
1167,13,2018-03-12 00:00:00,B
1218,13,2018-03-12 00:00:00,B
1167,13,2018-03-13 00:00:00,B
1218,13,2018-03-13 00:00:00,B
1167,13,2018-03-14 00:00:00,B
1218,13,2018-03-14 00:00:00,B
1167,13,2018-03-15 00:00:00,B
1167,13,2018-03-16 00:00:00,B
1218,13,2018-03-16 00:00:00,B
1167,13,2018-03-17 00:00:00,B
1218,13,2018-03-17 00:00:00,B
1167,13,2018-03-18 00:00:00,B
1218,13,2018-03-18 00:00:00,B
1167,13,2018-03-19 00:00:00,B
1218,13,2018-03-19 00:00:00,B
1167,13,2018-03-20 00:00:00,B
1218,13,2018-03-20 00:00:00,B
1167,13,2018-03-21 00:00:00,B
1167,13,2018-03-22 00:00:00,B
1218,13,2018-03-22 00:00:00,B
1167,13,2018-03-23 00:00:00,B
1218,13,2018-03-23 00:00:00,B
1167,13,2018-03-24 00:00:00,B
1218,13,2018-03-24 00:00:00,B
1167,13,2018-03-25 00:00:00,B
1218,13,2018-03-25 00:00:00,B
1167,13,2018-03-26 00:00:00,B
1218,13,2018-03-26 00:00:00,B
1167,13,2018-03-27 00:00:00,B
1218,13,2018-03-27 00:00:00,B
1167,13,2018-03-28 00:00:00,B
1218,13,2018-03-28 00:00:00,B
1167,13,2018-03-29 00:00:00,B
1218,13,2018-03-29 00:00:00,B
1167,13,2018-03-30 00:00:00,B
1218,13,2018-03-30 00:00:00,B
1167,13,2018-03-31 00:00:00,B
1167,13,2018-04-01 00:00:00,B
1167,13,2018-04-02 00:00:00,B
1167,13,2018-04-03 00:00:00,B
1167,13,2018-04-04 00:00:00,B
1167,13,2018-04-05 00:00:00,B
1218,13,2018-04-05 00:00:00,B
1167,13,2018-04-06 00:00:00,B
1167,13,2018-04-07 00:00:00,B
1218,13,2018-04-07 00:00:00,B
1167,13,2018-04-08 00:00:00,B
1167,13,2018-04-09 00:00:00,B
1218,13,2018-04-09 00:00:00,B
1167,13,2018-04-10 00:00:00,B
1218,13,2018-04-10 00:00:00,B
1167,13,2018-04-11 00:00:00,B
1218,13,2018-04-11 00:00:00,B
1167,13,2018-04-12 00:00:00,B
1218,13,2018-04-12 00:00:00,B
1167,13,2018-04-13 00:00:00,B
1218,13,2018-04-13 00:00:00,B
1167,13,2018-04-14 00:00:00,B
1218,13,2018-04-14 00:00:00,B
1167,13,2018-04-15 00:00:00,B
1167,13,2018-04-16 00:00:00,B
1218,13,2018-04-16 00:00:00,B
1167,13,2018-04-17 00:00:00,B
1218,13,2018-04-17 00:00:00,B
1167,13,2018-04-18 00:00:00,B
1218,13,2018-04-18 00:00:00,B
1167,13,2018-04-19 00:00:00,B
1218,13,2018-04-19 00:00:00,B
1167,13,2018-04-20 00:00:00,B
1218,13,2018-04-20 00:00:00,B
1167,13,2018-04-21 00:00:00,B
1218,13,2018-04-21 00:00:00,B
1167,13,2018-04-22 00:00:00,B
1218,13,2018-04-22 00:00:00,B
1167,13,2018-04-23 00:00:00,B
1167,13,2018-04-24 00:00:00,B
1218,13,2018-04-24 00:00:00,B
1167,13,2018-04-25 00:00:00,B
1218,13,2018-04-25 00:00:00,B
1167,13,2018-04-26 00:00:00,B
1167,13,2018-04-27 00:00:00,B
1167,13,2018-04-28 00:00:00,B
1218,13,2018-04-28 00:00:00,B
1167,13,2018-04-29 00:00:00,B
1167,13,2018-04-30 00:00:00,B
1167,13,2018-05-01 00:00:00,B
1167,13,2018-05-02 00:00:00,B
1167,13,2018-05-03 00:00:00,B
1167,13,2018-05-04 00:00:00,B
1167,13,2018-05-05 00:00:00,B
1167,13,2018-05-06 00:00:00,B
1167,13,2018-05-07 00:00:00,B
1167,13,2018-05-08 00:00:00,B
1218,13,2018-05-08 00:00:00,B
1167,13,2018-05-09 00:00:00,B
1218,13,2018-05-09 00:00:00,B
1167,13,2018-05-10 00:00:00,B
1218,13,2018-05-10 00:00:00,B
1167,13,2018-05-11 00:00:00,B
1167,13,2018-05-12 00:00:00,B
1167,13,2018-05-13 00:00:00,B
1167,13,2018-05-14 00:00:00,B
1218,13,2018-05-14 00:00:00,B
1167,13,2018-05-15 00:00:00,B
1218,13,2018-05-15 00:00:00,B
1167,13,2018-05-16 00:00:00,B
1218,13,2018-05-16 00:00:00,B
1167,13,2018-05-17 00:00:00,B
