building_id,meter,rmsle,file_id
0,0,1.3297071745910216e-06,13577404
1,0,1.7083679040297284e-06,13577404
2,0,0.0,13577404
3,0,1.0205249054706655e-06,13577404
4,0,2.2490341962111415e-06,13577404
5,0,0.0,13577404
6,0,1.917966528708348e-06,13577404
7,0,7.5449690939422e-07,13577404
7,1,2.546340965636773e-06,13577404
8,0,7.394933163595852e-07,13577404
9,0,1.3497966619979707e-06,13577404
9,1,3.0081948807492154e-06,13577404
10,0,1.8583441487862729e-06,13577404
11,0,6.49968001198431e-07,13577404
12,0,1.194166884488368e-06,13577404
13,0,8.77429897627735e-07,13577404
13,1,2.760196821327554e-06,13577404
14,0,9.262105891139072e-07,13577404
14,1,3.0376775157492375e-06,13577404
15,0,1.4180625385051826e-06,13577404
15,1,2.945174401247641e-06,13577404
16,0,2.3150171273300657e-06,13577404
17,0,1.770251287780411e-06,13577404
18,0,1.422301806996984e-06,13577404
19,0,1.6183062143682037e-06,13577404
20,0,6.402435701602371e-07,13577404
21,0,1.0940385664071073e-06,13577404
22,0,0.0,13577404
23,0,1.3334740742720896e-06,13577404
24,0,7.609854151269246e-07,13577404
25,0,1.1854555168611114e-06,13577404
26,0,1.4916552117938409e-06,13577404
27,0,9.913628673530184e-07,13577404
28,0,1.5854776620471966e-06,13577404
28,1,2.8659098916250514e-06,13577404
29,0,1.986123379538185e-06,13577404
29,1,2.8963590921193827e-06,13577404
30,0,6.64932315430633e-07,13577404
30,1,2.6716509182733716e-06,13577404
31,0,7.484595698770136e-07,13577404
31,1,2.7019086701329798e-06,13577404
32,0,1.1166926014993805e-06,13577404
33,0,7.150650276344095e-07,13577404
34,0,1.2652010354941012e-06,13577404
35,0,1.4274753539211815e-06,13577404
36,0,1.6647061329422286e-06,13577404
37,0,1.5944676761137089e-06,13577404
38,0,6.980114903853973e-07,13577404
39,0,1.1176988437000546e-06,13577404
40,0,1.3784921293336083e-06,13577404
41,0,1.5881335002632113e-06,13577404
42,0,2.2507203993882285e-06,13577404
43,0,1.1254437595198397e-06,13577404
43,1,2.1522384940908523e-06,13577404
44,0,0.0,13577404
45,0,0.0,13577404
46,0,0.0,13577404
47,0,9.592757805876317e-07,13577404
48,0,1.321057879977161e-06,13577404
49,0,1.5861281781326397e-06,13577404
50,0,0.0,13577404
50,1,2.9205173177615507e-06,13577404
51,0,1.6295408613586915e-06,13577404
52,0,7.928661034384277e-07,13577404
53,0,8.453566238131316e-07,13577404
54,0,6.282658659984008e-07,13577404
55,0,1.6663331052768626e-06,13577404
55,1,3.1000145099824294e-06,13577404
56,0,1.1573043821044848e-06,13577404
57,0,9.336804964732437e-07,13577404
58,0,8.294689450849546e-07,13577404
59,0,9.20961326755787e-07,13577404
60,0,1.4905419902788708e-06,13577404
60,1,2.7859564397658687e-06,13577404
61,0,1.3205105915403692e-06,13577404
62,0,6.296549486251024e-07,13577404
63,0,1.389749286317965e-06,13577404
64,0,1.8137233155357535e-06,13577404
65,0,1.7115440869019949e-06,13577404
66,0,1.7399952412233688e-06,13577404
67,0,1.546320277157065e-06,13577404
68,0,1.659239387663547e-06,13577404
69,0,1.4831877024334972e-06,13577404
70,0,1.0812414963368155e-08,13577404
71,0,1.997080289584119e-06,13577404
72,0,1.8049848904411192e-06,13577404
73,0,0.0,13577404
74,0,1.3094064570395858e-06,13577404
75,0,1.3364787037062342e-06,13577404
75,1,2.624320586619433e-06,13577404
76,0,1.7738268525135936e-06,13577404
76,1,3.323084001749521e-06,13577404
77,0,1.6699989373591961e-06,13577404
78,0,1.0067262792290421e-06,13577404
78,1,2.763300926744705e-06,13577404
79,0,5.75631133870047e-07,13577404
80,0,1.866976049313962e-06,13577404
81,0,0.0,13577404
82,0,6.937476655366481e-07,13577404
82,1,2.7418598165240837e-06,13577404
83,0,0.0,13577404
84,0,0.0,13577404
85,0,1.8846567400032654e-06,13577404
86,0,1.4944777149139554e-06,13577404
87,0,1.521360445622122e-06,13577404
88,0,9.501607109996257e-07,13577404
89,0,1.9988247004221193e-06,13577404
90,0,8.396868338422792e-07,13577404
91,0,8.209303246076161e-07,13577404
91,1,2.9839570743206423e-06,13577404
92,0,7.54866903207585e-07,13577404
92,1,2.80142376141157e-06,13577404
93,0,1.9268952655693283e-06,13577404
94,0,1.0904382179433014e-06,13577404
95,0,5.654592882819998e-07,13577404
95,1,3.025357273145346e-06,13577404
96,0,6.124763558545965e-07,13577404
96,1,2.9407685815385776e-06,13577404
97,0,6.753408570148167e-07,13577404
97,1,3.1027134355099406e-06,13577404
98,0,5.915501333220163e-07,13577404
98,1,3.02940429719456e-06,13577404
99,0,0.0,13577404
100,0,1.6092160421976587e-06,13577404
101,0,1.7054596810339717e-06,13577404
102,0,3.566290374124037e-08,13577404
103,0,1.5031716884550406e-06,13577404
103,1,2.8555316475831205e-06,13577404
104,0,7.219657618406927e-07,13577404
105,0,0.19953763484954834,13577404
106,0,0.09378433227539062,13577404
106,3,0.9023736715316772,13577404
107,0,3.184081265317218e-07,13577404
108,0,0.28197863698005676,13577404
109,0,3.3983934599746135e-07,13577404
109,3,2.0426418781280518,13577404
110,0,2.8212366487423424e-07,13577404
111,0,0.2999238073825836,13577404
112,0,0.21311382949352264,13577404
112,3,2.359621047973633,13577404
113,0,2.624138062401471e-07,13577404
113,3,0.8867875933647156,13577404
114,0,9.244306511391187e-07,13577404
114,3,1.7829896211624146,13577404
115,0,0.30851390957832336,13577404
116,0,3.743819476653698e-08,13577404
117,0,0.0,13577404
117,3,0.6291224360466003,13577404
118,0,0.2966892719268799,13577404
119,0,0.3132731020450592,13577404
119,3,1.793997883796692,13577404
120,0,0.2705461084842682,13577404
121,0,2.1880507006244443e-07,13577404
121,3,1.2856950759887695,13577404
122,0,5.4157332840532035e-08,13577404
123,0,0.2517453730106354,13577404
124,0,0.0,13577404
125,0,3.743819476653698e-08,13577404
126,0,0.24096177518367767,13577404
127,0,0.0,13577404
128,0,0.22454287111759186,13577404
129,0,0.0,13577404
130,0,0.174380362033844,13577404
131,0,2.448104794439132e-07,13577404
132,0,0.2260996401309967,13577404
133,0,0.0,13577404
134,0,0.22242076694965363,13577404
135,0,0.25311213731765747,13577404
136,0,0.18027478456497192,13577404
137,0,0.0,13577404
138,0,0.235772967338562,13577404
138,3,1.3947697877883911,13577404
139,0,0.19516122341156006,13577404
139,3,1.9640750885009766,13577404
140,0,0.0,13577404
141,0,0.18558448553085327,13577404
142,0,0.0,13577404
143,0,3.537786881224747e-07,13577404
144,0,0.19609194993972778,13577404
144,3,1.1417901515960693,13577404
145,0,0.1667288988828659,13577404
145,3,1.7813669443130493,13577404
146,0,0.0,13577404
147,0,0.24376137554645538,13577404
148,0,1.156169844307442e-07,13577404
149,0,0.0,13577404
150,0,2.1058407639884535e-07,13577404
151,0,0.16413207352161407,13577404
152,0,0.3397679626941681,13577404
153,0,0.0,13577404
154,0,0.2738632261753082,13577404
155,0,0.0,13577404
156,0,1.5464960370081826e-06,13577404
157,0,9.424261406820733e-07,13577404
158,0,8.361731488548685e-06,13577404
159,0,0.0,13577404
160,0,5.361655439628521e-06,13577404
161,0,1.0635387297952548e-05,13577404
161,1,0.07642686367034912,13577404
162,0,0.0074066706001758575,13577404
